cpf_cliente,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido
12345678901,2026-01-17T20:07:18.770405,5000.0,25000.0,rejeitado
12345678901,2026-01-17T20:07:42.725160,5000.0,15000.0,aprovado
12345678901,2026-01-17T20:15:43.612147,15000.0,25000.0,rejeitado
12345678901,2026-01-17T20:19:07.161357,15000.0,50000.0,rejeitado
12345678901,2026-01-17T20:25:14.150567,15000.0,50000.0,rejeitado
12345678901,2026-01-17T20:30:44.215183,15000.0,50000.0,rejeitado
12345678901,2026-01-17T22:21:00.305719,15000.0,20000.0,rejeitado
12345678901,2026-01-18T00:06:14.179121,15000.0,50000.0,rejeitado
98765432100,2026-01-18T00:11:29.902732,3000.0,5000.0,aprovado
98765432100,2026-01-18T00:11:45.868309,5000.0,8000.0,rejeitado
11122233344,2026-01-18T00:38:29.755535,1500.0,5000.0,rejeitado
99988877766,2026-01-18T00:45:26.683090,500.0,15000.0,rejeitado
99988877766,2026-01-18T01:14:42.255485,500.0,5000.0,rejeitado
99988877766,2026-01-18T01:15:26.599424,500.0,2000.0,aprovado
99988877766,2026-01-18T01:30:28.444517,2000.0,5000.0,rejeitado
11122233344,2026-01-18T01:36:52.471979,1500.0,8000.0,rejeitado
12345678901,2026-01-18T13:29:57.826043,15000.0,30000.0,rejeitado
98765432100,2026-01-18T13:44:03.908404,5000.0,15000.0,rejeitado
55566677788,2026-01-18T13:59:15.986886,10000.0,50000.0,aprovado
98765432100,2026-01-18T15:08:51.732235,5000.0,20000.0,rejeitado
98765432100,2026-01-18T15:09:52.948299,5000.0,1000.0,aprovado
11122233344,2026-01-18T15:18:03.886316,1500.0,15000.0,rejeitado
11122233344,2026-01-18T15:24:44.531592,1500.0,15000.0,rejeitado
11122233344,2026-01-18T15:25:15.754703,1500.0,15000.0,aprovado
99988877766,2026-01-18T15:32:51.289067,2000.0,7000.0,rejeitado
99988877766,2026-01-18T15:34:00.640687,2000.0,7000.0,rejeitado
99988877766,2026-01-18T15:34:35.088430,2000.0,50000.0,aprovado
99988877766,2026-01-18T15:38:05.539584,2000.0,7000.0,rejeitado
99988877766,2026-01-18T15:38:34.286874,2000.0,7000.0,aprovado
12345687123,2026-01-18T18:16:01.003380,5000.0,15000.0,rejeitado
12345687123,2026-01-18T18:16:40.816949,5000.0,50000.0,aprovado
12345687123,2026-01-18T18:28:58.558076,5000.0,15000.0,rejeitado
12345687123,2026-01-18T18:29:27.216164,5000.0,15000.0,aprovado
